nodeId,propertyValue
1538873394828935168,0.0
1573273309369597952,1.0
1532651180475547650,2.0
1585334914747990016,3.0
794685723538358272,4.0
1586950457838010368,5.0
847736388900356097,0.0
1540536699674951681,0.0
1592779166503403520,8.0
861039205874401280,0.0
883474480256778241,10.0
1542330783360090114,11.0
778045033828057092,0.0
888118103095115780,13.0
847670459306868741,14.0
1575727830742073350,15.0
465043472,16.0
1595091338092871692,0.0
23592970,18.0
1595463413286715397,19.0
1590841966513868800,20.0
1082125595931299840,21.0
23068712,22.0
2370830377,23.0
1574643107039248385,24.0
411303993,25.0
811860025,26.0
322961467,0.0
2321547324,28.0
3322675261,0.0
609222730,30.0
1499233953059901440,0.0
1368004303869382656,32.0
1537478679936307200,33.0
1557420771437383680,34.0
1523356174900465664,35.0
1394599300517269504,0.0
1453199912150175744,0.0
1558935663579435008,38.0
4808507478,39.0
197132375,40.0
559153239,41.0
1353288996709928961,42.0
1448621826515603457,43.0
3374579813,44.0
1574159903962370049,0.0
178258033,46.0
4117495923,47.0
1210056823,48.0
1521301186057539586,49.0
1574729012362022914,0.0
1591440115930435586,51.0
3412852865,52.0
19660935,53.0
776994955,54.0
3455582352,55.0
87818409,0.0
3342860463,0.0
1584580118030290944,0.0
411828422,59.0
17039573,60.0
110887131,0.0
1365356083674550278,62.0
1741160688,63.0
144703735,0.0
265814274,65.0
30408970,66.0
45089039,67.0
173801744,68.0
3349152017,69.0
2737570071,70.0
971099458837667841,71.0
304611629,0.0
1265096059564503040,0.0
1235600666401353728,74.0
991964016561008640,0.0
1305595885863219200,0.0
1304347374035316736,77.0
893153079289360384,78.0
1191375887444389888,0.0
1242794256927993856,80.0
723466221258190848,81.0
1037340991898955777,82.0
1141007096835649537,83.0
471335252,0.0
260309343,0.0
730333543,0.0
2305818986,87.0
380,88.0
53215631,0.0
58720664,90.0
1237851328031772672,91.0
735962595555823616,92.0
1538230472299270144,93.0
2209087904,94.0
1265631650,95.0
2097571,0.0
270533047,97.0
225182148,98.0
454558155,0.0
165151179,100.0
52167120,101.0
343146976,102.0
370409954,103.0
267125220,104.0
1471490171790970883,105.0
1576864510970920960,0.0
892946829964443648,107.0
1294443354844004352,108.0
22807017,109.0
1586351992527618048,0.0
1594724163956211712,111.0
289669612,112.0
1077805707750244352,0.0
106430958,114.0
1557557468233957376,115.0
47448563,0.0
1574655261935108097,0.0
1277886659107979265,118.0
1087115099024883713,119.0
1279141550841364481,120.0
1309564260461281281,121.0
1079771652,122.0
1571137244022407169,123.0
75760138,124.0
233046550,0.0
1597763790157873154,126.0
793772569,127.0
1459235250316398592,128.0
1519806493876441088,129.0
748935288576245762,130.0
1591667387413266434,131.0
14156317,132.0
1443849823032070144,0.0
1581456886766993410,134.0
790619335874281474,135.0
1409213041825173504,0.0
227803690,137.0
370147894,0.0
326369861,139.0
2399142472,140.0
1407451728,0.0
1049171,142.0
882022955651399685,143.0
1402927932176224259,144.0
1518786083592413185,145.0
3554673261,146.0
1399788319135911940,147.0
583008899,148.0
35127952,149.0
71303860,0.0
2679636660,151.0
233571003,152.0
1459990593061408775,0.0
2749104844,154.0
384565965,155.0
111674061,156.0
1500429135918866432,157.0
1493904380248137728,0.0
1386064885923127296,159.0
98042582,160.0
105382624,161.0
1704985315,162.0
492045030,0.0
1504103895978680321,164.0
1352168131876298753,165.0
283116263,0.0
1447450087525916673,0.0
206308078,168.0
450626287,169.0
348914414,0.0
1382847873814044674,0.0
109052673,172.0
2327577348,0.0
47710983,0.0
552862476,175.0
130810643,176.0
1515546774408208388,0.0
1259868941876248576,178.0
1264583479,179.0
330302277,0.0
1255146330,0.0
78644068,182.0
874,183.0
342885226,0.0
928252783,0.0
4012376963,186.0
211288966,187.0
2656043916,0.0
3425698714,189.0
16516000,190.0
289932208,191.0
558629811,192.0
1166191227894677504,0.0
554435511,194.0
1096633142956441600,195.0
702999866482540544,196.0
107217872,197.0
734004217,198.0
567542790,199.0
42992649,200.0
1691616266,201.0
2599945230,202.0
1938031644,203.0
780179296438652928,204.0
823161465121214464,205.0
330826792,206.0
22545453,207.0
23594033,208.0
1138842105856573445,209.0
1313005411788677121,0.0
257688632,211.0
1038442278702833665,212.0
122422343,213.0
164889672,214.0
2275935314,215.0
53216354,216.0
584844391,217.0
1573030500800892928,218.0
926235343388643328,219.0
1307756615056199680,220.0
910303613712568320,221.0
1265104990814834688,0.0
940523137288081408,0.0
1541838143242080256,0.0
1299344969925365760,225.0
305398898,226.0
1229701765983080448,0.0
4240180337,228.0
282592374,229.0
1492124791,230.0
15729784,231.0
465831039,232.0
1027081346,0.0
1552658929750085633,234.0
1577440594963697665,0.0
1541546716289273857,236.0
1166808892615135233,237.0
1001234085396844545,238.0
1275442577664348161,239.0
1200006853872291841,0.0
277611667,241.0
596903064,242.0
1295905170493038597,243.0
1121345882371362818,0.0
1013837835772858370,245.0
1540503193175613440,246.0
1575035473264795648,247.0
1595837902281400320,248.0
1553453582040588288,249.0
1573745882759061504,250.0
2884771,251.0
12321952,0.0
192414897,253.0
69207219,0.0
1573982848595496963,255.0
1396055913665028097,0.0
1546483982648369153,257.0
2202535097,258.0
1357631111694802945,259.0
223610043,260.0
1518522795289894913,261.0
2482767037,262.0
1392564564278009857,0.0
2360511,264.0
1374357622518919170,0.0
711460038,266.0
2352219337,267.0
1426851018,268.0
1546245590220169218,269.0
1431585118209073154,270.0
1419106966098567170,271.0
1010734843217391616,0.0
7865552,273.0
1555932755275440130,274.0
157811945,275.0
1546847395132104707,0.0
2320762096,277.0
871105783,278.0
256640255,279.0
2746221825,280.0
263980293,0.0
822807935394775040,282.0
138937620,283.0
207619350,284.0
421266728,285.0
2492990768,286.0
2917139774,287.0
715916606,288.0
89392448,0.0
403703115,0.0
14157134,291.0
139724115,292.0
194512228,293.0
1386246771375026177,294.0
1421700536966000641,295.0
2755396973,296.0
1946682733,0.0
212075892,0.0
268174712,299.0
1333823394308108290,300.0
1478889361441763330,301.0
785260250551156736,302.0
708563135934889984,303.0
1011851754667900928,0.0
1290037081977257984,305.0
2375026058,0.0
766250901392719872,307.0
1316988379985215488,0.0
837766451767410688,0.0
872302340434427904,310.0
1232414520565432320,0.0
919864722,0.0
1489039585443262467,313.0
708601196861325313,314.0
1313376262291849217,315.0
991685047114661889,316.0
925416563527778305,0.0
1591869713507811329,318.0
1572708390958137345,319.0
1299319124242333697,320.0
1267431591866925057,0.0
1256036855457382401,322.0
1551860304291692545,0.0
1574344740610445312,324.0
61867439,325.0
247989680,326.0
1504129469048631300,327.0
1128350164786216962,328.0
1306825911963013120,329.0
887519245944279040,0.0
952820028839088128,0.0
2818573757,332.0
1387267514,333.0
870928856458252288,0.0
19924413,335.0
2421687752,0.0
34080203,0.0
2347501004,338.0
3914335692,339.0
3120301530,340.0
1138492890,341.0
463996386,0.0
3171681768,0.0
463996401,344.0
1011353088,345.0
20186635,346.0
4610065936,0.0
524289602,348.0
13895242,349.0
337905233,350.0
1255933524,351.0
864468408930377728,0.0
1134408417668423680,353.0
1937770087,0.0
1480672044002029568,0.0
462161531,356.0
1520405237231910912,357.0
3309831819,358.0
1688,359.0
429393561,360.0
201066140,361.0
70780573,362.0
28837536,363.0
1234861852879777792,364.0
1531495262752894976,365.0
1276568131196973056,0.0
3331851939,0.0
5768872,368.0
254281388,369.0
299894452,370.0
1537141544066510849,371.0
1518757393969999873,0.0
1547981022003752961,373.0
16778949,374.0
281806539,0.0
783025867,0.0
75237089,65.0
73402086,378.0
234096360,379.0
2667579115,380.0
2571110125,381.0
1158659396211286016,382.0
313525999,383.0
1574810747863015424,0.0
1297368930663768064,0.0
1050710024274812928,386.0
1596529616600145920,0.0
1119468688829292544,388.0
1575046611629219840,0.0
297535222,0.0
1176061961328631808,391.0
3033270020,392.0
1480345832700485633,393.0
624953096,394.0
1572465588345217025,395.0
866339784112971777,0.0
1573995741579812865,397.0
1154296917129666561,398.0
1447957992738103297,399.0
75761431,400.0
826101166039789568,0.0
20973388,402.0
1505116961017143300,403.0
1565793291941003264,0.0
1573262266643857408,0.0
300681089,406.0
111413126,407.0
1525439378691985408,0.0
249563027,409.0
66848662,410.0
3358590875,411.0
19400611,412.0
281282477,0.0
279447484,414.0
16779204,415.0
1395291451265884169,416.0
4895541207,417.0
249825248,418.0
157812708,0.0
3342600166,420.0
932448235,421.0
2152204269,422.0
1282934768,423.0
2482505736,424.0
714634593538805760,425.0
808015647129079808,426.0
715251575522988032,0.0
830212118,428.0
263456799,0.0
71305251,430.0
788524,109.0
751568942,432.0
137103414,433.0
3030911032,434.0
1108930580102569984,435.0
1196157481354846208,436.0
405538880,437.0
1556715305103233024,438.0
2366113867,197.0
1362368542344011777,440.0
351537247,441.0
130549887,0.0
3310094463,443.0
1345510964217712640,0.0
1556637769644052480,0.0
763219241386577920,446.0
1366123517587165184,0.0
1536990210113867776,448.0
1411214895836762113,449.0
1526681379404189697,450.0
1475400952140206080,0.0
785784799323688960,452.0
1585937949597831168,453.0
1368586029536579586,454.0
1580211591001346050,455.0
1515911303566659586,456.0
1597655887363117058,457.0
1528466798416433154,0.0
821429675222306819,459.0
1427168312757260291,460.0
1543628343072985090,461.0
1558525237179912194,0.0
1590467066129223682,0.0
1498228999998345220,464.0
1429337113946951684,465.0
1454517389924700164,466.0
1426254293435355139,0.0
1349018068350078979,0.0
1382338996970393605,469.0
1543960900671049732,470.0
1574165736934805508,0.0
1430760798339665924,472.0
1510585462238416900,473.0
1452039853835751430,474.0
1459298125152194566,475.0
1473131567270793222,0.0
1521428380217970694,477.0
1392155737263116293,0.0
1497861464136290311,0.0
1502369937930784774,480.0
1528851150291800070,481.0
705039826979065862,482.0
1572901626456772614,0.0
1527876379345358856,0.0
1474186860314431496,485.0
24905898,486.0
1579555069699231752,0.0
1504494683216613383,488.0
