Id,louvainId,wccId
1538873394828935168,13144.0,0.0
1573273309369597952,1.0,1.0
1532651180475547650,32309.0,2.0
1585334914747990016,3.0,3.0
794685723538358272,4.0,4.0
1586950457838010368,5.0,5.0
847736388900356097,4000.0,0.0
1540536699674951681,35875.0,0.0
1592779166503403520,8.0,8.0
861039205874401280,50178.0,0.0
883474480256778241,10.0,10.0
1542330783360090114,11.0,11.0
778045033828057092,62545.0,0.0
888118103095115780,13.0,13.0
847670459306868741,14.0,14.0
1575727830742073350,15.0,15.0
465043472,76473.0,16.0
1595091338092871692,19486.0,0.0
23592970,18.0,18.0
1595463413286715397,19.0,19.0
1590841966513868800,20.0,20.0
1082125595931299840,21.0,21.0
23068712,22.0,22.0
2370830377,23.0,23.0
1574643107039248385,24.0,24.0
411303993,51897.0,25.0
811860025,26.0,26.0
322961467,13144.0,0.0
2321547324,28.0,28.0
3322675261,47902.0,0.0
609222730,30.0,30.0
1499233953059901440,45623.0,0.0
1368004303869382656,35404.0,32.0
1537478679936307200,33.0,33.0
1557420771437383680,34.0,34.0
1523356174900465664,35.0,35.0
1394599300517269504,25000.0,0.0
1453199912150175744,27453.0,0.0
1558935663579435008,38.0,38.0
4808507478,1985.0,39.0
197132375,40.0,40.0
559153239,41.0,41.0
1353288996709928961,42.0,42.0
1448621826515603457,43.0,43.0
3374579813,44.0,44.0
1574159903962370049,2817.0,0.0
178258033,46.0,46.0
4117495923,47.0,47.0
1210056823,48.0,48.0
1521301186057539586,36002.0,49.0
1574729012362022914,25598.0,0.0
1591440115930435586,51.0,51.0
3412852865,29626.0,52.0
19660935,53.0,53.0
776994955,49244.0,54.0
3455582352,55.0,55.0
87818409,39917.0,0.0
3342860463,26054.0,0.0
1584580118030290944,13144.0,0.0
411828422,59.0,59.0
17039573,55920.0,60.0
110887131,38129.0,0.0
1365356083674550278,4277.0,62.0
1741160688,63.0,63.0
144703735,47902.0,0.0
265814274,43907.0,65.0
30408970,66.0,66.0
45089039,67.0,67.0
173801744,68.0,68.0
3349152017,72150.0,69.0
2737570071,70.0,70.0
971099458837667841,71.0,71.0
304611629,50178.0,0.0
1265096059564503040,26054.0,0.0
1235600666401353728,74.0,74.0
991964016561008640,79918.0,0.0
1305595885863219200,19486.0,0.0
1304347374035316736,77.0,77.0
893153079289360384,78.0,78.0
1191375887444389888,14043.0,0.0
1242794256927993856,80.0,80.0
723466221258190848,81.0,81.0
1037340991898955777,82.0,82.0
1141007096835649537,83.0,83.0
471335252,1172.0,0.0
260309343,52478.0,0.0
730333543,1172.0,0.0
2305818986,87.0,87.0
380,78281.0,88.0
53215631,1172.0,0.0
58720664,90.0,90.0
1237851328031772672,15245.0,91.0
735962595555823616,51988.0,92.0
1538230472299270144,93.0,93.0
2209087904,94.0,94.0
1265631650,95.0,95.0
2097571,60233.0,0.0
270533047,97.0,97.0
225182148,98.0,98.0
454558155,41798.0,0.0
165151179,100.0,100.0
52167120,101.0,101.0
343146976,102.0,102.0
370409954,11000.0,103.0
267125220,104.0,104.0
1471490171790970883,105.0,105.0
1576864510970920960,11061.0,0.0
892946829964443648,107.0,107.0
1294443354844004352,108.0,108.0
22807017,4756.0,109.0
1586351992527618048,4602.0,0.0
1594724163956211712,111.0,111.0
289669612,112.0,112.0
1077805707750244352,2817.0,0.0
106430958,41751.0,114.0
1557557468233957376,115.0,115.0
47448563,52478.0,0.0
1574655261935108097,39917.0,0.0
1277886659107979265,118.0,118.0
1087115099024883713,119.0,119.0
1279141550841364481,120.0,120.0
1309564260461281281,121.0,121.0
1079771652,122.0,122.0
1571137244022407169,123.0,123.0
75760138,124.0,124.0
233046550,1172.0,0.0
1597763790157873154,126.0,126.0
793772569,44834.0,127.0
1459235250316398592,74897.0,128.0
1519806493876441088,129.0,129.0
748935288576245762,130.0,130.0
1591667387413266434,131.0,131.0
14156317,132.0,132.0
1443849823032070144,1172.0,0.0
1581456886766993410,134.0,134.0
790619335874281474,41333.0,135.0
1409213041825173504,8376.0,0.0
227803690,8884.0,137.0
370147894,47902.0,0.0
326369861,139.0,139.0
2399142472,140.0,140.0
1407451728,32620.0,0.0
1049171,35211.0,142.0
882022955651399685,143.0,143.0
1402927932176224259,53047.0,144.0
1518786083592413185,48733.0,145.0
3554673261,146.0,146.0
1399788319135911940,147.0,147.0
583008899,148.0,148.0
35127952,149.0,149.0
71303860,60233.0,0.0
2679636660,151.0,151.0
233571003,152.0,152.0
1459990593061408775,19486.0,0.0
2749104844,154.0,154.0
384565965,155.0,155.0
111674061,156.0,156.0
1500429135918866432,157.0,157.0
1493904380248137728,32620.0,0.0
1386064885923127296,69308.0,159.0
98042582,160.0,160.0
105382624,161.0,161.0
1704985315,162.0,162.0
492045030,78192.0,0.0
1504103895978680321,164.0,164.0
1352168131876298753,165.0,165.0
283116263,26054.0,0.0
1447450087525916673,26519.0,0.0
206308078,78098.0,168.0
450626287,169.0,169.0
348914414,2817.0,0.0
1382847873814044674,78192.0,0.0
109052673,172.0,172.0
2327577348,25598.0,0.0
47710983,69535.0,0.0
552862476,175.0,175.0
130810643,176.0,176.0
1515546774408208388,19486.0,0.0
1259868941876248576,178.0,178.0
1264583479,179.0,179.0
330302277,41798.0,0.0
1255146330,60233.0,0.0
78644068,79376.0,182.0
874,73921.0,183.0
342885226,13144.0,0.0
928252783,25598.0,0.0
4012376963,186.0,186.0
211288966,187.0,187.0
2656043916,62545.0,0.0
3425698714,13011.0,189.0
16516000,190.0,190.0
289932208,191.0,191.0
558629811,192.0,192.0
1166191227894677504,25598.0,0.0
554435511,194.0,194.0
1096633142956441600,51351.0,195.0
702999866482540544,196.0,196.0
107217872,56270.0,197.0
734004217,198.0,198.0
567542790,199.0,199.0
42992649,47233.0,200.0
1691616266,201.0,201.0
2599945230,202.0,202.0
1938031644,203.0,203.0
780179296438652928,23500.0,204.0
823161465121214464,77429.0,205.0
330826792,17355.0,206.0
22545453,53786.0,207.0
23594033,208.0,208.0
1138842105856573445,209.0,209.0
1313005411788677121,44470.0,0.0
257688632,211.0,211.0
1038442278702833665,61018.0,212.0
122422343,62363.0,213.0
164889672,36001.0,214.0
2275935314,61343.0,215.0
53216354,216.0,216.0
584844391,217.0,217.0
1573030500800892928,218.0,218.0
926235343388643328,50445.0,219.0
1307756615056199680,220.0,220.0
910303613712568320,221.0,221.0
1265104990814834688,35875.0,0.0
940523137288081408,2817.0,0.0
1541838143242080256,47902.0,0.0
1299344969925365760,225.0,225.0
305398898,226.0,226.0
1229701765983080448,19486.0,0.0
4240180337,19345.0,228.0
282592374,229.0,229.0
1492124791,26263.0,230.0
15729784,61022.0,231.0
465831039,232.0,232.0
1027081346,1632.0,0.0
1552658929750085633,234.0,234.0
1577440594963697665,4602.0,0.0
1541546716289273857,236.0,236.0
1166808892615135233,237.0,237.0
1001234085396844545,238.0,238.0
1275442577664348161,239.0,239.0
1200006853872291841,1172.0,0.0
277611667,241.0,241.0
596903064,11499.0,242.0
1295905170493038597,243.0,243.0
1121345882371362818,39917.0,0.0
1013837835772858370,245.0,245.0
1540503193175613440,246.0,246.0
1575035473264795648,247.0,247.0
1595837902281400320,248.0,248.0
1553453582040588288,249.0,249.0
1573745882759061504,250.0,250.0
2884771,251.0,251.0
12321952,252.0,0.0
192414897,253.0,253.0
69207219,75546.0,0.0
1573982848595496963,255.0,255.0
1396055913665028097,75546.0,0.0
1546483982648369153,257.0,257.0
2202535097,258.0,258.0
1357631111694802945,259.0,259.0
223610043,260.0,260.0
1518522795289894913,261.0,261.0
2482767037,262.0,262.0
1392564564278009857,41798.0,0.0
2360511,40787.0,264.0
1374357622518919170,11061.0,0.0
711460038,266.0,266.0
2352219337,267.0,267.0
1426851018,268.0,268.0
1546245590220169218,269.0,269.0
1431585118209073154,270.0,270.0
1419106966098567170,271.0,271.0
1010734843217391616,4000.0,0.0
7865552,273.0,273.0
1555932755275440130,274.0,274.0
157811945,275.0,275.0
1546847395132104707,26054.0,0.0
2320762096,277.0,277.0
871105783,278.0,278.0
256640255,279.0,279.0
2746221825,280.0,280.0
263980293,4000.0,0.0
822807935394775040,282.0,282.0
138937620,29013.0,283.0
207619350,284.0,284.0
421266728,285.0,285.0
2492990768,286.0,286.0
2917139774,287.0,287.0
715916606,68800.0,288.0
89392448,35875.0,0.0
403703115,72645.0,0.0
14157134,291.0,291.0
139724115,292.0,292.0
194512228,293.0,293.0
1386246771375026177,294.0,294.0
1421700536966000641,295.0,295.0
2755396973,1104.0,296.0
1946682733,50178.0,0.0
212075892,13144.0,0.0
268174712,299.0,299.0
1333823394308108290,15247.0,300.0
1478889361441763330,301.0,301.0
785260250551156736,302.0,302.0
708563135934889984,303.0,303.0
1011851754667900928,52478.0,0.0
1290037081977257984,305.0,305.0
2375026058,26054.0,0.0
766250901392719872,307.0,307.0
1316988379985215488,69791.0,0.0
837766451767410688,32620.0,0.0
872302340434427904,310.0,310.0
1232414520565432320,4000.0,0.0
919864722,1632.0,0.0
1489039585443262467,25174.0,313.0
708601196861325313,41157.0,314.0
1313376262291849217,75423.0,315.0
991685047114661889,316.0,316.0
925416563527778305,1172.0,0.0
1591869713507811329,318.0,318.0
1572708390958137345,319.0,319.0
1299319124242333697,320.0,320.0
1267431591866925057,39917.0,0.0
1256036855457382401,322.0,322.0
1551860304291692545,19486.0,0.0
1574344740610445312,324.0,324.0
61867439,79178.0,325.0
247989680,65342.0,326.0
1504129469048631300,327.0,327.0
1128350164786216962,33171.0,328.0
1306825911963013120,35712.0,329.0
887519245944279040,26054.0,0.0
952820028839088128,19486.0,0.0
2818573757,332.0,332.0
1387267514,333.0,333.0
870928856458252288,61686.0,0.0
19924413,335.0,335.0
2421687752,39917.0,0.0
34080203,4000.0,0.0
2347501004,338.0,338.0
3914335692,339.0,339.0
3120301530,33631.0,340.0
1138492890,341.0,341.0
463996386,37073.0,0.0
