Id,louvainId,wccId,pagerank
1538873394828935168,13144.0,0.0,0.15
1573273309369597952,1.0,1.0,0.9612404689154856
1532651180475547650,32309.0,2.0,0.15
1585334914747990016,3.0,3.0,0.9612404689154856
794685723538358272,4.0,4.0,0.9612404689154856
1586950457838010368,5.0,5.0,0.9612404689154856
847736388900356097,4000.0,0.0,1.4017583186099776
1540536699674951681,35875.0,0.0,0.15
1592779166503403520,8.0,8.0,0.9612404689154856
861039205874401280,50178.0,0.0,0.2775
883474480256778241,10.0,10.0,0.9612404689154856
1542330783360090114,11.0,11.0,0.9612404689154856
778045033828057092,62545.0,0.0,0.34125
888118103095115780,13.0,13.0,0.2775
847670459306868741,14.0,14.0,0.9612404689154856
1575727830742073350,15.0,15.0,0.9612404689154856
465043472,76473.0,16.0,0.15
1595091338092871692,19486.0,0.0,0.15
23592970,18.0,18.0,2.5837214067464567
1595463413286715397,19.0,19.0,0.9612404689154856
1590841966513868800,20.0,20.0,0.9612404689154856
1082125595931299840,21.0,21.0,0.9612404689154856
23068712,22.0,22.0,0.9612404689154856
2370830377,23.0,23.0,0.2775
1574643107039248385,24.0,24.0,0.9612404689154856
411303993,51897.0,25.0,0.15
811860025,26.0,26.0,0.9612404689154856
322961467,13144.0,0.0,0.4536859339636016
2321547324,28.0,28.0,0.9612404689154856
3322675261,47902.0,0.0,0.468540531108301
609222730,30.0,30.0,0.9612404689154856
1499233953059901440,45623.0,0.0,0.173830771547734
1368004303869382656,35404.0,32.0,0.15
1537478679936307200,33.0,33.0,0.9612404689154856
1557420771437383680,34.0,34.0,0.9612404689154856
1523356174900465664,35.0,35.0,0.2775
1394599300517269504,25000.0,0.0,0.3987867662285083
1453199912150175744,27453.0,0.0,0.15
1558935663579435008,38.0,38.0,0.9612404689154856
4808507478,1985.0,39.0,0.21375
197132375,40.0,40.0,0.9612404689154856
559153239,41.0,41.0,0.9612404689154856
1353288996709928961,42.0,42.0,0.9612404689154856
1448621826515603457,43.0,43.0,0.9612404689154856
3374579813,44.0,44.0,0.9612404689154856
1574159903962370049,2817.0,0.0,0.2039211167288827
178258033,46.0,46.0,0.9612404689154856
4117495923,47.0,47.0,0.9612404689154856
1210056823,48.0,48.0,0.9612404689154856
1521301186057539586,36002.0,49.0,0.15
1574729012362022914,25598.0,0.0,0.260869511831788
1591440115930435586,51.0,51.0,0.9612404689154856
3412852865,29626.0,52.0,0.15
19660935,53.0,53.0,0.2775
776994955,49244.0,54.0,0.21375
3455582352,55.0,55.0,0.9612404689154856
87818409,39917.0,0.0,1.7313409562258415
3342860463,26054.0,0.0,0.7653985651290955
1584580118030290944,13144.0,0.0,0.260869511831788
411828422,59.0,59.0,0.9612404689154856
17039573,55920.0,60.0,0.15
110887131,38129.0,0.0,0.260869511831788
1365356083674550278,4277.0,62.0,0.15
1741160688,63.0,63.0,0.9612404689154856
144703735,47902.0,0.0,0.385875
265814274,43907.0,65.0,0.15
30408970,66.0,66.0,0.2775
45089039,67.0,67.0,0.9612404689154856
173801744,68.0,68.0,0.9612404689154856
3349152017,72150.0,69.0,0.15
2737570071,70.0,70.0,0.9612404689154856
971099458837667841,71.0,71.0,0.2775
304611629,50178.0,0.0,0.15
1265096059564503040,26054.0,0.0,0.5926460794554137
1235600666401353728,74.0,74.0,0.9612404689154856
991964016561008640,79918.0,0.0,0.15
1305595885863219200,19486.0,0.0,0.1898292968510087
1304347374035316736,77.0,77.0,0.9612404689154856
893153079289360384,78.0,78.0,0.405
1191375887444389888,14043.0,0.0,0.5492506760098436
1242794256927993856,80.0,80.0,0.9612404689154856
723466221258190848,81.0,81.0,0.9612404689154856
1037340991898955777,82.0,82.0,0.9612404689154856
1141007096835649537,83.0,83.0,0.2775
471335252,1172.0,0.0,0.3461498113493637
260309343,52478.0,0.0,0.15
730333543,1172.0,0.0,0.21375
2305818986,87.0,87.0,1.4539404067226702
380,78281.0,88.0,0.15
53215631,1172.0,0.0,0.15
58720664,90.0,90.0,0.9612404689154856
1237851328031772672,15245.0,91.0,0.1925
735962595555823616,51988.0,92.0,0.15
1538230472299270144,93.0,93.0,0.2775
2209087904,94.0,94.0,0.9612404689154856
1265631650,95.0,95.0,0.9612404689154856
2097571,60233.0,0.0,0.7202816951171234
270533047,97.0,97.0,0.9612404689154856
225182148,98.0,98.0,0.9612404689154856
454558155,41798.0,0.0,0.15
165151179,100.0,100.0,0.9612404689154856
52167120,101.0,101.0,0.9612404689154856
