index,author_id
0,1538873394828935168
1,1573273309369597952
2,1532651180475547650
3,1585334914747990016
4,794685723538358272
5,1586950457838010368
6,847736388900356097
7,1540536699674951681
8,1592779166503403520
9,861039205874401280
10,883474480256778241
11,1542330783360090114
12,778045033828057092
13,888118103095115780
14,847670459306868741
15,1575727830742073350
16,465043472
17,1595091338092871692
18,23592970
19,1595463413286715397
20,1590841966513868800
21,1082125595931299840
22,23068712
23,2370830377
24,1574643107039248385
25,411303993
26,811860025
27,322961467
28,2321547324
29,3322675261
30,609222730
31,1499233953059901440
32,1368004303869382656
33,1537478679936307200
34,1557420771437383680
35,1523356174900465664
36,1394599300517269504
37,1453199912150175744
38,1558935663579435008
39,4808507478
40,197132375
41,559153239
42,1353288996709928961
43,1448621826515603457
44,3374579813
45,1574159903962370049
46,178258033
47,4117495923
48,1210056823
49,1521301186057539586
50,1574729012362022914
51,1591440115930435586
52,3412852865
53,19660935
54,776994955
55,3455582352
56,87818409
57,3342860463
58,1584580118030290944
59,411828422
60,17039573
61,110887131
62,1365356083674550278
63,1741160688
64,144703735
65,265814274
66,30408970
67,45089039
68,173801744
69,3349152017
70,2737570071
71,971099458837667841
72,304611629
73,1265096059564503040
74,1235600666401353728
75,991964016561008640
76,1305595885863219200
77,1304347374035316736
78,893153079289360384
79,1191375887444389888
80,1242794256927993856
81,723466221258190848
82,1037340991898955777
83,1141007096835649537
84,471335252
85,260309343
86,730333543
87,2305818986
88,380
89,53215631
90,58720664
91,1237851328031772672
92,735962595555823616
93,1538230472299270144
94,2209087904
95,1265631650
96,2097571
97,270533047
98,225182148
99,454558155
100,165151179
101,52167120
102,343146976
103,370409954
104,267125220
105,1471490171790970883
106,1576864510970920960
107,892946829964443648
108,1294443354844004352
109,22807017
110,1586351992527618048
111,1594724163956211712
112,289669612
113,1077805707750244352
114,106430958
115,1557557468233957376
116,47448563
117,1574655261935108097
118,1277886659107979265
119,1087115099024883713
120,1279141550841364481
121,1309564260461281281
122,1079771652
123,1571137244022407169
124,75760138
125,233046550
126,1597763790157873154
127,793772569
128,1459235250316398592
129,1519806493876441088
130,748935288576245762
131,1591667387413266434
132,14156317
133,1443849823032070144
134,1581456886766993410
135,790619335874281474
136,1409213041825173504
137,227803690
138,370147894
139,326369861
140,2399142472
141,1407451728
142,1049171
143,882022955651399685
144,1402927932176224259
145,1518786083592413185
146,3554673261
147,1399788319135911940
148,583008899
149,35127952
150,71303860
151,2679636660
152,233571003
153,1459990593061408775
154,2749104844
155,384565965
156,111674061
157,1500429135918866432
158,1493904380248137728
159,1386064885923127296
160,98042582
161,105382624
162,1704985315
163,492045030
164,1504103895978680321
165,1352168131876298753
166,283116263
167,1447450087525916673
168,206308078
169,450626287
170,348914414
171,1382847873814044674
172,109052673
173,2327577348
174,47710983
175,552862476
176,130810643
177,1515546774408208388
178,1259868941876248576
179,1264583479
180,330302277
181,1255146330
182,78644068
183,874
184,342885226
185,928252783
186,4012376963
187,211288966
188,2656043916
189,3425698714
190,16516000
191,289932208
192,558629811
193,1166191227894677504
194,554435511
195,1096633142956441600
196,702999866482540544
197,107217872
198,734004217
199,567542790
200,42992649
201,1691616266
202,2599945230
203,1938031644
204,780179296438652928
205,823161465121214464
206,330826792
207,22545453
208,23594033
209,1138842105856573445
210,1313005411788677121
211,257688632
212,1038442278702833665
213,122422343
214,164889672
215,2275935314
216,53216354
217,584844391
218,1573030500800892928
219,926235343388643328
220,1307756615056199680
221,910303613712568320
222,1265104990814834688
223,940523137288081408
224,1541838143242080256
225,1299344969925365760
226,305398898
227,1229701765983080448
228,4240180337
229,282592374
230,1492124791
231,15729784
232,465831039
233,1027081346
234,1552658929750085633
235,1577440594963697665
236,1541546716289273857
237,1166808892615135233
238,1001234085396844545
239,1275442577664348161
240,1200006853872291841
241,277611667
242,596903064
243,1295905170493038597
244,1121345882371362818
245,1013837835772858370
246,1540503193175613440
247,1575035473264795648
248,1595837902281400320
249,1553453582040588288
250,1573745882759061504
251,2884771
252,12321952
253,192414897
254,69207219
255,1573982848595496963
256,1396055913665028097
257,1546483982648369153
258,2202535097
259,1357631111694802945
260,223610043
261,1518522795289894913
262,2482767037
263,1392564564278009857
264,2360511
265,1374357622518919170
266,711460038
267,2352219337
268,1426851018
269,1546245590220169218
270,1431585118209073154
271,1419106966098567170
272,1010734843217391616
