author_id,tweet_id,conversation_author_id
98780424,1546893050345127941,1382847873814044674
1280058411317633024,1546892814419623936,601148365
804502468629381120,1546892733146468353,989952556507025408
98780424,1546892477071851522,1382847873814044674
1098380310624911360,1546892303880491008,3142513366
98780424,1546892254538829833,1382847873814044674
256555955,1546892156484620288,1153045459
264788807,1546892098032570369,112079545
98780424,1546891687112450049,1428663970408407041
1518913307469619200,1546890869575454721,776016867420962816
1310557064,1546890517715247109,1469987703685013506
1494199444539125761,1546890178920316929,39344374
1430026187267481609,1546890023106011136,1153045459
1382847873814044674,1546889966042726401,98780424
1382847873814044674,1546889790645223424,1428663970408407041
1484174926428864515,1546889343314395137,1362083065992986629
1382847873814044674,1546889292634521607,98780424
16707518,1546889242134994944,150312043
98780424,1546889091308032001,1382847873814044674
1382847873814044674,1546888995988246529,98780424
2572108705,1546888618719203328,869825995
100436430,1546888340825411584,1901298962
1382847873814044674,1546888243689521153,98780424
15411535,1546887541445509121,1385278105367900165
1715292157,1546887475397787650,278382639
4510297756,1546887471455244288,1372560015769399296
1382847873814044674,1546887421152968705,98780424
15727974,1546887293989945346,26350255
42604630,1546887292597444609,41786801
98780424,1546887241401769986,1428663970408407041
1487796184605499395,1546887200670982145,1349149096909668363
1416472911251116032,1546887055019577345,105260278
1142469860,1546886711849926661,430620548
1463955044676612103,1546886640014090241,1326349479608463362
1246542543933730816,1546885711952891906,1458795893247909894
1544735638427254786,1546885349271818250,1447448627362869250
979960650,1546884976947302400,16278177
1326013945816211456,1546884768163323905,4795173830
1528646628256759808,1546884411664252928,1496850942209183744
1504548300116144132,1546883497146605569,15438913
1324053134130499584,1546883297623658498,1514164679198789632
1528361972621877254,1546883049283063808,1498222349962858499
1537587891299176448,1546882782797787136,1496615827528892418
4194040659,1546882356283428867,37538202
4827114851,1546882277916950529,906230721513181184
2190599708,1546881918171582465,1435893210543427586
1448847716428230682,1546881536385056774,2745745112
892423487129657345,1546880993239465984,1221462414744596483
1517676996267962368,1546880979880460289,7940822
1323199933617475585,1546879824538517507,1511622679274655748
1428663970408407041,1546879742485434369,98780424
2496574231,1546879738278461440,1249982359
1531495262752894976,1546879410925473793,1535138926050127872
2247664636,1546878616117682178,1509195856632811520
1428663970408407041,1546878461662445573,98780424
98171256,1546878242551898117,1534611920413655042
56286860,1546876415593033729,27652717
1511474386733215746,1546875580913577984,573918122
1248284628672106496,1546875542523105280,18856867
1128337685850931200,1546875475988926465,1118244560373633024
756295219440607232,1546875404257873925,118756393
29303470,1546875029056458752,39648111
16076032,1546874874773241856,819890495820365824
1534870817565294593,1546874679096496128,1402565423300763654
212006850,1546874109346430979,278145569
1424235755107360770,1546873980669382658,1208726760579203077
319249117,1546873876977573888,1488026569
1516514747042181131,1546873808291860480,949691886280888320
