author_id,tweet_id,conversation_author_id
217473382,1405863295546953729,4227064815
483273973,1404810471249694726,519835485
823310,1404797599169851396,675253
15446531,1404736370929803266,294710260
2836451415,1404682167976923136,739410240416960513
359024514,1402265665139003395,1023927842609012736
44336049,1402163129828655105,1278080835866984450
76642393,1401177796337147906,36693893
62592710,1400785338369548289,22042254
294306372,1400164247389163522,905057374385438720
359024514,1400090880753627141,404895983
310396618,1399411297750552580,470802436
19410955,1398999824167473154,885974183523602432
34255829,1398618295478243330,14298769
16207462,1397689785259593736,907382738
483273973,1395564185451380736,2936642755
205515351,1393249640250814466,870010809186791424
37180418,1391385107160834053,15724284
50619721,1390228834100944896,1309564260461281281
3424667681,1389297251076411392,1009061228566794240
573095099,1388271229946245126,1528558014
2962370063,1385681368269697030,148163166
22802715,1385326924226981888,16102482
359024514,1385289562939740163,483273973
144202961,1381973055900155909,5058231
827637158555033600,1380588127392161796,41722878
34255829,1380536392472739850,119704541
129067238,1380478420925227014,1252486916194406401
16132791,1379821308427563012,16223057
83888782,1379461162471936003,20186635
14845783,1378823675781263360,1193999290395430912
2568461,1378531084124688388,22158854
18080585,1377727075084333063,419639256
45192838,1377251800655527938,177815370
16017472,1376959253114712067,18918483
22751329,1376675794827763721,8442372
16926550,1376610850652483595,58124062
636490979,1376422337109766146,1128862404090245122
23326965,1373007873291128833,243551087
16112517,1372633205929435137,2759601722
1924414555,1371894504635109384,701196212
162094209,1371866344942153732,16168529
7577332,1369144523633270787,30140693
14344469,1368124111675826181,354537284
14534896,1367533389780197376,14574697
492586313,1367242476474437642,91519753
2870961917,1364938761306591238,902706383057031170
18582812,1363615293570838528,89479501
10449,1363199913895620615,701858984
6068,1362490225558253568,1106602422271725568
34255829,1362421556631191557,35403297
27648752,1358818848762396675,1713873013
18100031,1358534351298912256,5763262
99297884,1358250085973454848,281612040
15710997,1357119995415773184,97114171
10688732,1357050706239266816,144906035
1123502101,1356731939991019523,15913649
22198175,1356685218837594124,240450486
14280299,1356363267803906053,41819908
15697358,1355625191578210312,19689545
23163698,1355294901232140290,126817361
95221142,1354974112293265412,157535141
483273973,1354902272380198914,320429850
1366811,1354850947286102016,3092381638
483273973,1354573159320711170,1912054296
16140591,1352757998356226049,1287431928
43834966,1350968437967888387,52994513
10433822,1349388195243372546,187784226
16926550,1347566288953102337,1271687917543600128
14339903,1347288921470865409,14443861
14883821,1346876376759078915,7184612
34255829,1346508007446863874,390722263
412429578,1345952368744157185,295646738
23745072,1345824775634100229,14362766
384350981,1345376579124396039,49202953
267579433,1340000840124309504,2886365945
567611029,1339623439989157888,13734322
232602648,1338882060220448774,18284099
125171167,1336850791500447744,53503802
123584688,1336337695237230596,108349175
17463660,1334477003886653447,866221291
25155290,1334225099252264960,18366695
589349263,1332858496941912065,2918893310
874,1330978122376777734,114274827
1109278428,1330911046412931073,253096828
272760181,1330206511163973632,21930409
1765921,1329153323044319236,7210812
284093185,1328171972782649344,106008077
34255829,1327321006604738561,720688794
59596937,1327314548836143109,61592079
17175213,1327310715355586560,80356948
14428744,1324486586885701632,3016150238
116600330,1324485084561526785,19645683
3533231,1324357205940985856,9867982
36353564,1324314140261945346,376298468
1175221,1324091114740240386,2384071
519769200,1323362780548747269,720990838852071425
1469438148,1322346427419303937,38287098
24919888,1321222539389988865,384203142
1123675946735681536,1319094593493692421,1158151858659004416
108408529,1316426793373569024,80908670
14834340,1314232019187126273,794759459566391296
21696279,1313497857241083906,363209173
14716014,1313152510777913345,16319594
76761964,1311293126221467650,18546306
16112517,1309581378636316672,21084111
2450408658,1309510459091947520,1328397488
265814274,1309094079628804097,1274690550
5907282,1308053826751074305,505836297
741150194,1306364052508045312,1708214022
45617221,1304910680609501185,1273985215237632001
420492427,1304476202636320768,15193273
12034642,1303773320597381122,488631443
84645066,1301523906508083201,364967265
151689073,1301304692304015360,4019247256
18946913,1300869232188678144,3262584578
14303746,1300578270350659584,34738633
16036843,1299013381223927809,22850063
827296225955180544,1298398277017014273,3760488922
80650044,1296893905225625601,3099384448
20511718,1293538961089069057,627914118
9711142,1292097303017332739,66215504
3222838619,1291712309266718720,494980111
3238448948,1291504160785829889,1237537542737743872
47262697,1291397586772004867,14265924
14815608,1291387089565577218,1912042891
8839152,1290671525654343683,681473
359024514,1289216396895739910,1387915232
3238448948,1288873937925844992,1282732472686575622
15843638,1288467847354748928,635383
14550673,1287298103091970048,1031324998034706432
2283924824,1286381846784282626,32871086
370113964,1286278542368673793,1510564387
602721749,1286140697884667904,34681491
17145161,1284323260557955073,16211782
3322502295,1283886983010369536,1206145507
17269569,1283478425911656448,19995471
1362760926,1282774388618612737,23612936
152143,1282613456181616641,824525636719022080
415507521,1282007922546036738,1243581046995554305
15684633,1281923619988353037,15157414
88223320,1281351768572678144,36273828
3068764060,1280878399188279296,18397335
14162415,1279925867133546496,299273962
2523903076,1279082723735453696,429393561
183749519,1278692487750713344,89163236
16539917,1277685792832278529,160343788
4916499262,1277384865416126466,785563624265945088
34255829,1277069251409522688,1713618708
17781739,1276907693429620736,19285268
18717518,1275973222136233985,137684514
495643,1274339408993382407,217204594
2993177739,1273382619749797888,14190948
16926550,1271178601044627460,477780638
45901207,1271004791662170116,80253265
589535421,1270876253881397251,10846402
74560879,1268762156608024578,8248752
14181505,1268673172854804480,15675664
34255829,1268552802927874049,47387027
233841077,1268367721059749888,24504850
21896072,1268252087378497537,950230151517917184
502012192,1266154010635010048,30408970
304588450,1265919634487853056,757583712921985024
19593954,1265490179118075904,18950645
23092890,1263153533920120837,334291476
827637158555033600,1262896104905084928,17737614
42992649,1262889826011021319,358508671
107563743,1262553757579018240,91180720
595722578,1262506559801831430,168912732
15271184,1262438078049812482,15099007
31142666,1262223230863134721,1051704781453045760
272257186,1262029625917661184,7317322
3092541736,1260759641300127745,862613316991987712
15591282,1260691243031543816,812324758167633921
272257186,1260642202365149189,43379861
272257186,1260640864289918979,43379861
20060293,1260203096531222535,1209979863064629248
827637158555033600,1259981224635887617,44808326
10328012,1258969432803536896,4625037762
242069220,1258456312377114625,14665172
14344469,1257948924070948865,9316452
327577091,1257803843678715904,2964539431
327577091,1257799839343140865,2964539431
2964539431,1257798807431102464,327577091
