author_id,tweet_id,conversation_author_id
712857593530683392,1405879652585861124,153212959
454076195,1405663327712317443,121224595
769276958542737408,1405331354653380611,822484401254780928
219932455,1405184726571360256,1205148348090638336
20411717,1404871952020369408,273565626
25838632,1404596107116781569,3300120264
615328000,1404331206846693377,152595346
381677670,1403851723383488512,283984383
5703342,1403840381712617472,17181421
90942877,1403720840009588739,875109180239212549
147706979,1403486171406209026,824312968598999041
712857593530683392,1403347352132341767,1275789342959497217
1183327309224386560,1403036034691076098,1296861576071348224
26388412,1402370276785016857,17566603
2293529953,1401200445977030665,471677441
236457592,1400822796213649411,552033774
14492779,1400535262862716931,14098166
14294455,1400354073963028480,1882097124
161394982,1400224129463246848,14098166
454076195,1400093591511437315,14207711
454076195,1400089146954293255,2400635306
39835002,1399550905192693764,293251619
94761188,1399212791219867649,4536734720
11518572,1398326162112204800,1282845426
856254411173179394,1397926549836365830,1021162452103323648
18373968,1397103123852791808,12461382
2861436041,1396569132078882826,2914251291
40275574,1396542194161491974,24349006
18732627,1396081671997374466,8350532
15729784,1395821921225240576,1009128233768443904
250287517,1395728576247369735,10449
16404141,1395611510773219340,16610929
28976901,1395456407667892229,138780524
196509596,1395348628659650562,17222425
2853461537,1395014371470757890,15867018
15082486,1394915518885281793,21875813
161485553,1394804861259051016,3179348828
2460564014,1394687408382390277,2201979738
19355829,1394443218570383365,134805565
19355829,1394441451384229889,134805565
149241888,1394409708904194052,1271899725739044865
1387725252,1394320249625976832,18382998
712857593530683392,1394070485533564931,2412318684
100136358,1393785551757713408,62912013
1200241,1393250220083982341,1124376934723522561
16879093,1392976420754771969,1247590386672881665
22174968,1392913147145736198,977445481
8167022,1392521775351664644,2225105443
950531,1392451902810509312,62734246
19618471,1392401098779074564,1260963394523365380
41653798,1392250006556512257,821146173482369026
224896427,1392154781301370884,1350757978639577088
1577522323,1391101029710766081,95260821
24127811,1391001250259476481,4829660601
121881752,1390740096819679232,30733968
22869559,1390712209345454086,15407632
1201505616,1390426033044615169,1375970914710421504
34255829,1390415793242914816,15680306
326562333,1390411641473351687,96686651
171574926,1390142217231093762,115239011
269812167,1389639262056943617,1191360817356320768
1240561169296814080,1389501452289118212,19606850
1240561169296814080,1389501199439695876,19606850
712857593530683392,1389485618950860802,1389455908820832257
12497,1389325424467976194,1358828879335411719
330826792,1388883379924258820,34664371
454076195,1388561362591391744,253330028
454076195,1388560647856836614,253330028
18028509,1388478326822539265,18700893
20773814,1388190913013428234,322375052
192784466,1388166183292076042,41652821
712857593530683392,1387738386916462602,24926144
12497,1387733288874250245,16016637
17916546,1387342546389639170,284017301
415773218,1387160835634733069,534857279
18815447,1387035613136883715,257798575
41817227,1387018167642374149,312294866
3364295459,1386791223348899848,1196864289665114112
984301467359170564,1386274542688014336,23789628
109299325,1386184808569606145,960748930546900992
27715051,1385999891541860360,782710817951133696
611632849,1385880991986855939,1254888497737056258
28700831,1385616958184468480,1326859982147448835
14513488,1385583099233329157,420308365
712857593530683392,1385029568281645058,24926144
22290141,1384955535427084290,176722129
135991437,1384869971096973315,259735771
39835002,1384498793912152065,1857545558
4416456732,1384379748864856064,1569267240
482388629,1383632789900169218,93442993
26061966,1383518368636948481,17243582
10666172,1383088983681474561,190988390
15825577,1382659095681978370,52111377
27884506,1382530708795756546,769474873
316057426,1382456961405386753,1307998356493545472
17552387,1382332108270616587,210230802
108562201,1381760646874689539,1320169572
932013864,1381648365474217984,454385673
45586617,1381614886514536462,189868631
