Id,propertyValue
274647532,0.0
1479303445676904449,0.0
749603277847744513,0.0
1216720098708246529,0.0
1607911934,0.0
49465857,0.0
1471268065736372230,0.09314660309892729
113429006,0.0
866505487495208960,0.0
1015587328751030273,0.0
1341335592110592000,0.19795495891098425
1513746484130304003,0.0
51300902,0.0
92457512,0.0
15911473,0.0
2985740855,0.0
220645944,0.0
1521666637,1.0
357222990,0.14878770859313273
1527433806,0.0
944102780939227136,0.0
1162728810523086848,0.0
958829759940743168,0.0
67291741,1.0
1020056432958459904,0.0
1339608207082344448,1.0
857974980876914688,0.0
2692139617,0.0
1342502335361273856,0.0
202033763,0.0
134138478,0.0
2941700723,0.0
1357378125852790785,0.0
995027991272050689,0.0
1568886107235819520,0.0
821641063207227393,0.0
148818559,1.0
922130975672455170,0.0
746386170548985856,0.6666666666666666
1583930311817175040,0.0
1562172624360316928,0.0
1564113317681045504,0.0
1573567805835845632,0.0
1575439296496017408,0.0
1571227018053976064,0.0
1589613055792521217,0.0
1582646629571919872,0.0
1542169582173036545,0.0
1580718415278669825,0.0
1087032000,0.0
1592414809793896450,0.18052876563600873
1053797788629135360,0.0
1305734074342895616,0.0
1597528489929875458,0.0
1571994210617663490,0.0
1228638274823974912,0.0
252365511,0.0
1555502232791031810,0.0
1573374568814747650,0.0
1314688505092567040,0.0
968205417175117825,0.0
1213433719886770177,0.0
927618774018093057,0.0
3094268642,0.0
22465250,0.0
1576309677255696388,0.0
796249873272152068,0.0
20105978,0.0
15911679,0.0
2439170833,0.0
3430337297,0.0
105827092,0.0
17222425,1.0
16173851,0.0
2771045149,0.0
567200552,0.0
1735052077,0.14426671343258785
2697120559,1.0
80137023,1.0
21154625,0.0
803746644034514944,1.0
710902678252089344,0.0
773922496357789696,1.0
787658761695588352,0.10231133279657523
792817341688115200,0.0
3540699975,1.0
3740977992,0.0
798594252284555264,0.0
577162059,0.0
354863947,1.0
202034005,0.0
1574863973815558152,1.0
1350407014325874689,0.0
721235077317980161,0.6
1184811871,0.0
470469472,0.0
48941925,0.0
346475368,0.0
818479273602379778,0.0
223529852,0.0
953863039,0.0
89574273,0.0
1575598646183469056,0.0
392088463,0.0
1545712031160213504,0.0
1555027756974743552,1.0
126012325,0.0
1572091459641417729,0.0
1533740501043912705,0.6666666666666666
1490391537322434561,0.0
2542511,0.0
1438567351,0.0
4871867326,1.0
2911292350,1.0
2879310799,0.0
129158098,0.5
2368916450,1.0
4375366635,0.0
803916788,0.0
1586712103557251072,0.0
1464944557230112768,0.0
1510754482988236800,0.0
1581545893286887424,0.0
1556843574372843520,0.0
1589181089666547712,0.0
185256957,0.0
2816658434,0.0
1548143624,0.0
342281228,0.0
14076943,1.0
1400838588871458817,0.0
1596164875067310081,0.0
1597395183213199361,0.0
1556541756015099905,0.0
1583386024511782913,0.0
1756191,1.0
96914470,0.0
1465096487403241474,0.0
1401895553479458818,0.0
1020562647123660800,0.0
1505336140420857858,0.0
1498700220527525890,0.0
1286652782276153344,0.0
1518662664268005378,0.0
1261676490887958528,0.0
47107118,0.0
1573817765894537218,0.0
1087814522797199360,0.0
272026675,0.0
1683934260,0.0
186829877,0.0
224840760,0.0
108186684,0.0
1672924225,0.0
4863216706,0.0
1090956998433214465,0.0
1243627306633039873,0.0
932682632206389249,0.0
1110865223311855617,0.0
545967171,0.0
925817831626805249,0.0
948624627659608065,0.0
77253711,0.0
120245328,0.0
1696517202,0.0
2506017877,0.0
1011534936,0.0
133352536,1.0
1484663246007287812,0.0
1283291612274135042,1.0
1072580450428817410,0.0
878913136547422208,0.0
1019684804395175938,0.0
772389774820728832,0.0
1226150385968123906,0.0
2165754981,0.0
46058599,0.12965144250709226
113953923,0.0
1242150252615995396,1.0
1260512716868825088,0.0
861375901514084352,0.0
878028804785975296,1.0
711927236740263936,0.0
879543463657615360,0.09732832744955203
1300274331436462080,0.0
875313718929666048,1.0
1578894009564647424,1.0
1439598427629932544,0.0
4053716129,0.0
249482402,1.0
27446437,0.0
1004194981,0.0
61787309,0.0
195742898,0.0
239520959,0.0
1584442987471409153,0.0
15387839,1.0
32951490,0.0
3304770757,0.6666666666666666
44223698,0.0
292998364,1.0
3029257437,0.0
3016150238,1.0
21417183,1.0
1307760286145929216,0.0
1343831247395708928,0.0
1355858604570664960,0.0
1231687816540807168,1.0
1233189272951414784,0.0
1163020839605985280,0.0
1281203784484610048,1.0
1168958962336751616,0.0
87739634,0.0
1711721714,0.0
176606452,0.0
1364623906167021569,0.0
755151270990798849,0.6666666666666666
709020928,0.0
972255380880334848,0.0
1399317315934593024,0.0
1402923964523978752,0.0
893745927504109568,0.0
875453625023176704,0.0
946768461904060417,0.0
865653259125497856,0.2542372881355932
1416875030579879936,0.0
902100716940009472,0.0
1414247761235517440,0.0
1407919212689989633,0.0
1339161560942485505,0.0
910154802688008193,0.0
4828089614,1.0
1292776470889209857,0.0
1375757785426665474,0.0
1412935342458511362,1.0
1329308240274927616,0.0
1362042034379399170,0.0
1407570167693942786,0.0
1415052593437450243,0.14022464652264408
1360822472208130052,0.06588792729142867
1249594507202617346,0.0
1253812752155631618,0.0
1382285747298869251,0.0
1396654670873993220,0.0
1364894654265663492,0.0
1384130674265792517,0.0
1427438915674284036,0.0
1397040942004150276,0.0
1418584789758615558,0.0
1298790398131806214,0.0
1384084485810003973,0.0
1341752256962600966,0.0
1384006898727362566,0.0
1314210026551091207,0.0
1340364290985926663,0.0
1311666898753396743,0.0
1407918247488364551,1.0
604949797,1.0
1573142956286316544,0.0
1573932655280033792,0.0
1574159005425242112,0.0
1555747009445138432,0.0
1366404585787596809,0.0
1420740180944723977,0.0
1528389495040937984,0.0
470207797,0.0
248958262,0.0
4732407095,0.0
1406843390415708171,1.0
585813313,0.0
2608254275,0.15919577107587007
108973380,0.0
1574579602714169345,0.0
1157465822572380160,0.0
3012480327,0.0
993687944308260864,0.0
361155913,0.0
733398629566709760,0.0
914561681014980608,0.0
95079766,0.0
1433410113176576000,0.0
276483419,0.0
1483796281709727746,0.0
1611582818,0.0
138071395,0.5
2206911848,0.0
1615252842,0.0
403623277,0.0
2584399213,0.0
134139245,0.0
252366196,0.0
174247303,0.0
382913927,0.2857142857142857
1961282970,0.0
254725531,0.0
4849323423,0.0
158780832,1.0
100322719,0.0
806538662,1.0
729468343,0.11992757237008678
246861241,0.0
2224213440,0.0
2904739266,0.0
1377066436317872128,0.0
323669455,0.0
1358200634898579457,0.0
27708897,0.09713316433045034
933416418,0.0
801362499396370434,0.0
2984955402,1.0
43961870,1.0
4135243279,0.0
1488768870253211648,0.0
348573215,0.0
2528038435,0.0
3431386660,0.0
2453327395,0.0
218025510,0.0
1573779613876002816,0.0
1594412091573575680,0.0
794810219410792448,0.0
118935121,0.0
349621853,1.0
1508780807586197507,0.0
2221330023,0.0
47369832,0.0
2990460525,0.0
447401587,0.1748243926446244
1221281248020254720,0.0
1570503986859462656,0.0
1505072114583457792,0.0
1574921795051966464,0.0
1283144364324278272,0.0
1106602422271725568,1.0
1409006057893122048,0.08759610858308489
1528735675524304896,0.0
1518677776139800576,0.0
1094996811021012992,1.0
4253470334,0.0
108515329,0.0
186306190,0.0
1578314162354245633,0.0
1578687325487484929,0.0
1256630500950790145,0.0
1187684577701253121,0.0
1110833843110662145,0.0
1265447843323695105,0.0
1298231666385866753,0.0
1574994505895497729,0.0
1109532876310302721,1.0
1451651139569598466,0.0
1505676948,0.0
466013862,0.0
175624200,0.0
1596568967900024834,0.0
1562154020143353858,0.0
1283149140990533632,0.0
1095787827084828672,0.0
1264069561869049856,0.0
1244557805421502464,0.0
1284536192625713152,0.0
1310418399990816768,0.0
1243997762355634176,1.0
1477362766390480899,0.0
1283175298146672641,0.0
4709600968,0.0
1248037928300879873,0.0
923455189,0.0
2590166742,0.0
1544401002069217284,0.0
1574826449730785284,0.0
121032415,0.0
1390289270078795776,0.0
1396471135961706496,0.0
1589430055091970048,0.0
1395892769240109061,0.0
3711094521,0.0
1367807829629825025,0.0
1494404180575875073,1.0
3225341693,1.0
1420441813119389702,0.0
1478778238629564422,0.0
1589454503287443462,0.0
1470352689330483202,0.6666666666666666
163761957,0.0
1452978229422313479,0.0
1209370599996432389,0.0
1261641661148471301,0.0
1455171024153047043,1.0
1243722579774447621,0.0
1069665257243713541,0.0
2309672754,0.0
41078579,0.0
3238448948,0.0
14339903,0.0
47632197,0.0
268357448,0.0
1592083597099401216,0.0
4492545868,0.0
962252628,0.6666666666666666
911309327276929024,1.0
888932793014775808,0.0
1084255236288638976,0.0
1093648615111880704,0.0
1244319590,0.0
860924113518555136,0.0
1032177817226801152,0.0
3188379497,0.0
1357530631073394688,1.0
866534165440851968,1.0
21711518,0.0
1184939056364507146,0.0
1573440984280715274,0.0
1081529363085094913,0.0
157208444,0.0
1053254223012524033,0.0
1310955297045966849,0.0
1361998617368817665,1.0
1238276732253331456,0.0
199937926,0.0
3297431443,0.0
1444071737306529792,0.0
1474833663711920128,0.0
1595762273271824384,0.0
1409414629361598464,0.09610595635572117
1433048619452612608,0.0
1418859881189228544,0.16453670758153147
218812313,0.0
1583036456972468224,0.0
719883154979438592,0.0
542035867,0.0
48680856,0.16388990825688074
1244843940,1.0
1374082916368666626,1.0
529452973,1.0
1283476864787513344,0.0
1589315742377328641,0.0
1574259193623756801,0.0
1498227496948482049,0.0
1543191934503632897,0.0
1377365400862736385,0.0
1476480641399144449,0.0
1554578255193194497,0.0
90361778,0.3333333333333333
1574340278579773441,0.0
809709940864598017,0.0
1417503808347848706,0.0
1368043366814990338,1.0
1589963257946640384,1.0
1576452165933010944,0.0
1574299324044873728,0.0
1573175432303677440,0.0
1573246944457146370,1.0
1689178064,0.0
2191703749,0.0
3920809936,0.0
1457529562867318787,0.0
1434124556810207235,0.0
2342178787,0.0
1531944286496899075,0.0
1390630725041328129,0.0
4916695013,1.0
1455899099866218499,0.0
1511461770929442817,0.0
1060841677026418688,0.0
408080367,0.0
744673274,0.0
1098709575400869888,1.0
1108498895083065344,1.0
1120360711958482944,0.10364171661980796
868893984818647040,0.0
948016574304276480,0.0
910961513371979776,0.0
1514380171608195073,1.0
