tweet_id,Source,Target,conversation_id,limitedTopics
7426790266,6003222,,7426790266,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7446556874,22512883,,7446556874,"[2, 8, 4, 5, 9, 7, 3, 1, 0, 6]"
7448229815,15209501,,7448229815,"[2, 8, 4, 5, 9, 7, 3, 0, 1, 6]"
7487577066,17642330,,7487577066,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7578153069,2384071,,7578153069,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7587590537,72249574,,7587590537,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7628934218,59200277,,7628934218,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7639452731,8919762,,7639452731,"[2, 6, 8, 4, 9, 7, 3, 0, 5, 1]"
7644641414,24110110,,7644641414,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7649467421,6331462,,7649467421,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7714802662,15169290,,7714802662,"[2, 6, 8, 4, 5, 3, 7, 9, 1, 0]"
7758394489,14792516,,7758394489,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7792059280,6486602,,7792059280,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7797321362,14792516,,7797321362,"[2, 6, 8, 5, 9, 7, 3, 1, 4, 0]"
7851089136,12447792,,7851089136,"[2, 6, 8, 4, 5, 9, 3, 1, 7, 0]"
7868160201,11883132,,7868160201,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7871151677,15736190,,7871151677,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7900438003,5175321,,7900438003,"[2, 6, 8, 4, 5, 9, 7, 0, 1, 3]"
7901834601,15441623,,7901834601,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7910609070,69513559,,7910609070,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7959866359,69133574,,7959659155,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
7979249848,14206328,,7979249848,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
7996468086,13027572,,7996468086,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
8006110930,9207632,,8006110930,"[2, 6, 8, 4, 7, 3, 5, 1, 9, 0]"
8040192085,9500242,,8040192085,"[2, 6, 8, 4, 5, 9, 7, 0, 1, 3]"
8128531568,6503412,,8128531568,"[2, 6, 8, 4, 9, 7, 0, 5, 1, 3]"
8243921259,8917142,,8243566875,"[2, 8, 4, 5, 9, 7, 3, 1, 0, 6]"
8248446334,1940581,,8248446334,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
8254832431,14621112,,8251703459,"[2, 6, 4, 5, 7, 0, 8, 1, 9, 3]"
8260273319,20190957,,8260273319,"[2, 6, 8, 4, 5, 9, 7, 1, 0, 3]"
8380715929,7508402,,8380715929,"[2, 6, 8, 4, 5, 9, 7, 0, 1, 3]"
8545296892,15736190,,8545296892,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
8553455343,52184782,,8553455343,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
8557306761,17882795,,8557306761,"[2, 6, 8, 4, 5, 7, 3, 1, 9, 0]"
8566294575,18107749,,8566294575,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
8592636634,17269569,,8592636634,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
8592763409,17269569,,8592763409,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
8688779681,9207632,,8688779681,"[2, 6, 8, 4, 5, 9, 7, 1, 3, 0]"
8819120742,26858764,,8819120742,"[2, 6, 8, 4, 5, 7, 0, 1, 3, 9]"
8857969055,765845,,8857969055,"[2, 6, 8, 5, 9, 7, 3, 0, 1, 4]"
8950842742,109184306,,8950842742,"[2, 6, 8, 4, 9, 7, 3, 5, 1, 0]"
8966013927,14222615,,8966013927,"[2, 6, 8, 5, 9, 7, 3, 0, 4, 1]"
8985024601,14792516,,8985024601,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
9015787255,46309783,,9015787255,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
9147688956,17778401,,9147688956,"[2, 6, 5, 9, 7, 0, 8, 1, 4, 3]"
9195609180,11069462,,9195609180,"[2, 6, 8, 5, 9, 7, 3, 1, 4, 0]"
9195810192,2384071,,9195810192,"[2, 6, 8, 5, 9, 7, 3, 1, 0, 4]"
9247379119,11545,,9247379119,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
9299073249,21674448,,9299073249,"[2, 6, 8, 4, 5, 9, 7, 0, 1, 3]"
9333024343,5894902,,9333024343,"[2, 8, 4, 5, 9, 7, 3, 6, 1, 0]"
9334608727,18058741,,9334608727,"[2, 8, 4, 5, 9, 7, 3, 1, 0, 6]"
9354519852,818340,,9354519852,"[2, 6, 8, 4, 9, 7, 3, 0, 5, 1]"
9354790343,19685572,,9354790343,"[2, 6, 8, 4, 9, 7, 3, 0, 5, 1]"
9364705037,92162698,,9364705037,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
9440122863,15483126,,9440122863,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
9446241621,18089292,,9439019179,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
9488964666,21786831,,9488964666,"[2, 6, 8, 5, 7, 4, 0, 9, 1, 3]"
9530638014,9207632,,9530638014,"[2, 8, 4, 5, 7, 3, 9, 1, 6, 0]"
9588424141,18057077,,9588424141,"[2, 6, 8, 5, 9, 7, 3, 4, 1, 0]"
9636036808,14621282,,9636036808,"[2, 8, 4, 5, 9, 7, 3, 0, 6, 1]"
9702586794,108471290,,9702586794,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
9848168390,14562685,,9848168390,"[2, 6, 8, 4, 5, 7, 0, 3, 1, 9]"
9877979858,7808262,,9877979858,"[2, 6, 4, 3, 7, 1, 5, 0, 8, 9]"
9973735023,82120358,,9973735023,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
10087057795,1175221,,10087057795,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
10176465922,40057701,,10176465922,"[2, 6, 8, 5, 9, 7, 4, 3, 0, 1]"
10178868065,13368342,,10178868065,"[2, 6, 4, 5, 9, 7, 3, 8, 1, 0]"
10202330535,7231332,,10202330535,"[2, 6, 4, 5, 9, 7, 0, 8, 3, 1]"
10202419701,10755302,,10202419701,"[2, 6, 4, 5, 9, 7, 0, 8, 1, 3]"
10218571188,14080447,,10218571188,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
10225567318,27213584,,10225567318,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
10262706170,1002351,,10262706170,"[2, 6, 8, 5, 9, 7, 0, 1, 4, 3]"
10329227293,35808844,,10329227293,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
10342910264,8099962,,10342910264,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
10385166505,39448240,,10385166505,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
10410786334,1765921,,10410786334,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
10480235343,18363918,,10480235343,"[2, 8, 4, 5, 9, 7, 3, 6, 0, 1]"
10507506387,18160074,,10507506387,"[2, 6, 8, 4, 5, 9, 7, 1, 3, 0]"
10517800912,15736190,,10517800912,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
10576998781,9210592,,10576998781,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
10583320497,16438170,,10583320497,"[2, 6, 8, 5, 9, 7, 3, 0, 4, 1]"
10643912719,106312034,,10643912719,"[2, 6, 8, 4, 5, 7, 1, 9, 3, 0]"
10722832614,9207632,,10722832614,"[2, 6, 8, 9, 7, 5, 4, 3, 1, 0]"
10739866418,9207632,,10739866418,"[2, 6, 8, 5, 9, 7, 0, 1, 4, 3]"
10767200902,31067157,,10767200902,"[2, 6, 8, 4, 5, 7, 3, 9, 0, 1]"
10828184542,44374617,,10828184542,"[2, 6, 8, 4, 5, 7, 1, 0, 3, 9]"
11043967514,14562685,,11043967514,"[2, 8, 4, 5, 7, 3, 1, 6, 9, 0]"
11092857139,9207632,,11092857139,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
11104643017,15164565,,11104643017,"[2, 6, 8, 4, 5, 9, 7, 3, 0, 1]"
11299193143,14344469,,11299193143,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
11477379955,894601,,11477379955,"[2, 6, 8, 4, 5, 9, 7, 0, 1, 3]"
11706031107,21174265,,11706031107,"[2, 8, 4, 9, 7, 3, 5, 1, 6, 0]"
11755179676,765845,,11755179676,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
11784199921,17429334,,11784199921,"[2, 8, 4, 5, 9, 7, 0, 6, 3, 1]"
11786158426,106312034,,11786158426,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
11950593511,14985683,,11950593511,"[2, 6, 8, 5, 7, 3, 9, 4, 1, 0]"
11996322643,418,,11966407252,"[2, 6, 4, 5, 9, 7, 8, 3, 1, 0]"
12047560434,9207632,,12047560434,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
12067568492,20131383,,12067568492,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
12111446850,14558825,,12111446850,"[2, 6, 8, 5, 9, 7, 3, 4, 0, 1]"
12121453945,19507483,,12121453945,"[2, 8, 4, 5, 9, 7, 6, 1, 3, 0]"
12233603123,14845642,,12233490614,"[2, 6, 8, 4, 5, 9, 7, 3, 1, 0]"
12421962623,15947897,,12421962623,"[2, 6, 8, 4, 5, 7, 3, 1, 9, 0]"
12423842482,1090561,,12423842482,"[2, 6, 8, 4, 5, 7, 3, 1, 9, 0]"
12489155665,1716121,,12489155665,"[2, 8, 4, 5, 9, 7, 3, 1, 0, 6]"
12903858661,10364212,,12903858661,"[2, 8, 4, 5, 9, 7, 0, 6, 3, 1]"
12903861915,5203141,,12903861915,"[2, 8, 4, 5, 9, 7, 0, 6, 3, 1]"
12903865021,4641021,,12903865021,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
12907177347,15473781,,12907177347,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
12911099873,18936284,,12911099873,"[2, 6, 8, 4, 5, 9, 7, 0, 3, 1]"
