tweet_id,Source,Target,conversation_id,limitedTopics
132131859260907520,13205612,,132131859260907520,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
136462370359873536,3533231,,136462370359873536,"[6, 5, 9, 7, 0, 1, 2, 4, 8, 3]"
138359573152153600,4046891,,138359573152153600,"[6, 8, 4, 5, 9, 3, 0, 7, 1, 2]"
139504593099964416,120794438,,139504593099964416,"[6, 8, 4, 5, 9, 7, 1, 2, 0, 3]"
139780783236845568,16362921,,139780783236845568,"[6, 8, 9, 7, 5, 2, 1, 4, 3, 0]"
143748026836598784,44034613,,143748026836598784,"[6, 5, 9, 7, 0, 8, 3, 4, 2, 1]"
144569681972441088,328916657,,144569681972441088,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
145201191738023936,112475924,,145201191738023936,"[6, 8, 4, 7, 0, 5, 1, 2, 9, 3]"
147848535960854528,14080017,,147848535960854528,"[6, 8, 4, 5, 9, 7, 0, 2, 1, 3]"
153939826830356480,7508402,,153939826830356480,"[6, 8, 4, 5, 9, 3, 0, 1, 7, 2]"
159284726367133696,59200277,,159284726367133696,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
159372158987022338,5070301,,159372158987022338,"[6, 8, 4, 5, 9, 7, 3, 1, 0, 2]"
160488544463368193,68520312,,160488544463368193,"[6, 4, 9, 7, 8, 2, 3, 1, 5, 0]"
162767998833262594,29193745,,162767998833262594,"[6, 8, 4, 5, 9, 7, 2, 0, 3, 1]"
166005132646031362,20001729,,166005132646031362,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
168803741015879680,328916657,,168803741015879680,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
170504143000174593,352650591,,170503044251910145,"[6, 8, 4, 5, 9, 7, 2, 1, 3, 0]"
174208921068773378,18946913,,174208921068773378,"[6, 8, 4, 5, 9, 7, 1, 2, 3, 0]"
178286894902296576,12160482,,178286894902296576,"[6, 8, 4, 9, 7, 3, 2, 5, 0, 1]"
178964633925853186,20774514,,178964633925853186,"[6, 4, 5, 9, 7, 3, 8, 0, 2, 1]"
179224088018026497,18448279,,179224088018026497,"[6, 8, 4, 5, 9, 7, 2, 1, 0, 3]"
180087125012791296,205486955,,180087125012791296,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
182573912780062722,368696655,,182572250908733440,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
186490163239727104,18354822,,186490163239727104,"[6, 8, 4, 5, 9, 3, 7, 1, 2, 0]"
186844870118359041,16926232,,186844870118359041,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
190496052774838273,14559196,,190496052774838273,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
191966896621486080,6183492,,191966896621486080,"[6, 8, 4, 5, 9, 7, 0, 1, 2, 3]"
191970596404477953,681473,,191970596404477953,"[6, 8, 4, 5, 9, 7, 2, 0, 3, 1]"
191970950156267521,13148382,,191970950156267521,"[6, 8, 4, 5, 9, 7, 1, 2, 0, 3]"
192012417088229376,15184929,,192009373881602048,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
192624559848046595,14109677,,192624559848046595,"[6, 8, 4, 5, 9, 7, 1, 2, 0, 3]"
195890638271688705,6446772,,195890638271688705,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
197283563115261952,10977452,,197283563115261952,"[6, 8, 4, 5, 9, 7, 3, 1, 0, 2]"
197408424877752320,213858690,,197386387778060291,"[6, 8, 4, 5, 7, 3, 2, 0, 1, 9]"
198358297324175361,17904829,,198358297324175361,"[6, 4, 5, 9, 7, 3, 2, 1, 8, 0]"
198417899017338880,42923085,,198417899017338880,"[6, 8, 4, 5, 3, 0, 7, 2, 1, 9]"
203591922999234560,34255829,,203591922999234560,"[6, 8, 4, 5, 9, 7, 3, 1, 0, 2]"
206047242828791808,6446772,,206047242828791808,"[6, 8, 4, 9, 7, 5, 2, 3, 0, 1]"
206465443169439744,299752517,,206465443169439744,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
207818831354273792,14564385,,207818831354273792,"[6, 8, 4, 5, 9, 7, 3, 0, 1, 2]"
209336687183134720,450842550,,209336687183134720,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
211844497871613952,34255829,,211844497871613952,"[6, 8, 4, 5, 9, 7, 3, 2, 1, 0]"
213065522114334722,3362721,,213064896974299138,"[6, 8, 5, 9, 7, 3, 4, 2, 1, 0]"
215856753345175552,1059801,,215856753345175552,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
215858452399013889,44055011,,215858452399013889,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
215859022048395266,5959592,,215859022048395266,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
216051518577713152,1059801,,216051518577713152,"[6, 8, 4, 5, 9, 7, 3, 0, 2, 1]"
217607656154730497,327577091,,217607656154730497,"[6, 8, 4, 5, 9, 7, 3, 1, 2, 0]"
225433979682160642,888621,,225433979682160642,"[6, 8, 5, 9, 7, 3, 4, 2, 1, 0]"
227474664035844097,8839152,,227474664035844097,"[6, 8, 4, 5, 9, 7, 2, 3, 1, 0]"
227963705105739776,57844814,,227963705105739776,"[6, 8, 4, 9, 7, 3, 1, 5, 0, 2]"
229944144896860161,13982132,,229944144896860161,"[6, 4, 5, 9, 7, 3, 0, 2, 1, 8]"
230292982434238464,19230878,,230292982434238464,"[6, 4, 5, 9, 7, 3, 2, 8, 0, 1]"
231035881035796480,196706473,,231035881035796480,"[6, 8, 4, 5, 9, 0, 7, 3, 2, 1]"
231075510107648002,196706473,,231075510107648002,"[6, 8, 4, 5, 9, 0, 7, 3, 2, 1]"
233705721756258304,331703548,,233705721756258304,"[6, 8, 4, 5, 7, 3, 9, 2, 1, 0]"
234000201864593408,16060978,,234000201864593408,"[6, 8, 4, 5, 9, 7, 3, 2, 0, 1]"
